iter	RMSE
0	13.81741446
1	13.50915544
2	13.29031347
3	13.11932003
4	12.9349329
5	12.78933969
6	12.6442843
7	12.54572253
8	12.39253378
9	12.2809041
10	12.15840245
11	12.0125082
12	11.88408035
13	11.80585021
14	11.72767927
15	11.6498148
16	11.53876543
17	11.4471438
18	11.37789634
19	11.35043184
20	11.26492619
21	11.1968764
22	11.12528906
23	11.05240535
24	11.02207219
25	10.96860127
26	10.8686764
27	10.84909614
28	10.82119652
29	10.74681086
30	10.71009859
31	10.67396031
32	10.62331319
33	10.55929742
34	10.51417219
35	10.48437177
36	10.45823211
37	10.40772232
38	10.37164347
39	10.35634023
40	10.32218252
41	10.29065302
42	10.26726601
43	10.22744095
44	10.21073115
45	10.19091604
46	10.15707738
47	10.13344712
48	10.11132182
49	10.05892356
50	10.01830337
51	9.962067715
52	9.922250332
53	9.894343168
54	9.872993847
55	9.864516917
56	9.841964986
57	9.822230784
58	9.786006403
59	9.732641685
60	9.716079688
61	9.697015071
62	9.689161933
63	9.62925903
64	9.622757784
65	9.614656505
66	9.568188302
67	9.552577465
68	9.52322905
69	9.493509799
70	9.445604007
71	9.408602085
72	9.342580048
73	9.304948883
74	9.250339337
75	9.228707236
76	9.174672504
77	9.161528404
78	9.12333214
79	9.104597343
80	9.059617045
81	9.025726415
82	9.018974187
83	9.004224417
84	8.988922792
85	8.947129278
86	8.909641539
87	8.873322814
88	8.848135495
89	8.835236276
90	8.805270873
91	8.791335151
92	8.780719981
93	8.755265666
94	8.742941884
95	8.729038552
96	8.725445054
97	8.700194457
98	8.690353005
99	8.661546836
100	8.63969102
101	8.62210817
102	8.600151511
103	8.590987452
104	8.568397478
105	8.554423611
106	8.532289646
107	8.495532509
108	8.465596993
109	8.438522517
110	8.4317325
111	8.406327259
112	8.392187718
113	8.373821185
114	8.352554701
115	8.340872015
116	8.320170492
117	8.29820584
118	8.293877347
119	8.274143769
120	8.257884925
121	8.243532984
122	8.226645293
123	8.215077303
124	8.204302106
125	8.200950074
126	8.193595034
127	8.170456957
128	8.159144427
129	8.147485715
130	8.138791059
131	8.134290978
132	8.123559216
133	8.114440445
134	8.100184637
135	8.085207722
136	8.080877296
137	8.067711303
138	8.056458735
139	8.042539007
140	8.026585533
141	8.012076531
142	8.005309371
143	7.990178376
144	7.985516468
145	7.98173381
146	7.969180182
147	7.959399146
148	7.94883174
149	7.938366148
150	7.923714104
151	7.916184315
152	7.91165688
153	7.901222561
154	7.89557743
155	7.86545659
156	7.855463109
157	7.846768587
158	7.840207808
159	7.835402294
160	7.803256102
161	7.794361854
162	7.77987774
163	7.770590211
164	7.748231414
165	7.733032418
166	7.730434522
167	7.715754238
168	7.710198952
169	7.705202744
170	7.697392453
171	7.679854291
172	7.676697771
173	7.671620162
174	7.667071453
175	7.660133332
176	7.649678603
177	7.645464914
178	7.632953845
179	7.622309782
180	7.60691444
181	7.601997697
182	7.592916023
183	7.58781137
184	7.57894091
185	7.574156181
186	7.565777571
187	7.555628546
188	7.547935236
189	7.539691982
190	7.5331789
191	7.527331006
192	7.518736761
193	7.513385464
194	7.51004722
195	7.506998405
196	7.503027809
197	7.499533258
198	7.48503903
199	7.477627649
