eic_code,cluster,order,seasonal_order,val_money_pct,aic,fallback
62Z0008583037334,5,"(0, 1, 0)","(0, 1, 1, 24)",33.445942161788246,1117.3183842728067,False
62Z0011230718431,5,"(0, 1, 0)","(0, 1, 1, 24)",33.445942161788246,1117.3183842728067,False
62Z0096677872985,5,"(0, 1, 0)","(0, 1, 1, 24)",33.445942161788246,1117.3183842728067,False
62Z0101426517156,3,"(2, 1, 2)","(0, 1, 1, 24)",32.19167854774129,6911.063817309953,False
62Z013852333354Y,13,"(1, 1, 2)","(0, 1, 1, 24)",35.785531391707195,6669.968146929907,False
62Z0188778556192,5,"(0, 1, 0)","(0, 1, 1, 24)",33.445942161788246,1117.3183842728067,False
62Z0211989286227,5,"(0, 1, 0)","(0, 1, 1, 24)",33.445942161788246,1117.3183842728067,False
62Z0232888687220,5,"(0, 1, 0)","(0, 1, 1, 24)",33.445942161788246,1117.3183842728067,False
62Z0257942815672,5,"(0, 1, 0)","(0, 1, 1, 24)",33.445942161788246,1117.3183842728067,False
62Z0259886906816,5,"(0, 1, 0)","(0, 1, 1, 24)",33.445942161788246,1117.3183842728067,False
62Z0271773349182,5,"(0, 1, 0)","(0, 1, 1, 24)",33.445942161788246,1117.3183842728067,False
62Z0285733378448,12,"(2, 1, 2)","(0, 1, 1, 24)",31.75960936809041,1.3192354925225693,False
62Z0352290641310,0,"(0, 1, 2)","(1, 1, 1, 24)",31.383025837632324,394.50938868587735,False
62Z0453715929868,0,"(0, 1, 2)","(1, 1, 1, 24)",31.383025837632324,394.50938868587735,False
62Z0494602382356,0,"(0, 1, 2)","(1, 1, 1, 24)",31.383025837632324,394.50938868587735,False
62Z0499856982765,10,"(0, 1, 0)","(1, 1, 1, 24)",31.512703674512615,628.0350464116341,False
62Z052548745986I,7,"(2, 1, 2)","(1, 1, 1, 24)",31.696489193441483,276.2095758318861,False
62Z0611125169123,12,"(2, 1, 2)","(0, 1, 1, 24)",31.75960936809041,1.3192354925225693,False
62Z0628247731117,7,"(2, 1, 2)","(1, 1, 1, 24)",31.696489193441483,276.2095758318861,False
62Z0650102958310,0,"(0, 1, 2)","(1, 1, 1, 24)",31.383025837632324,394.50938868587735,False
62Z0760150283041,2,"(0, 1, 0)","(1, 1, 1, 24)",32.4084548578159,-312.2132774705787,False
62Z0763594350330,0,"(0, 1, 2)","(1, 1, 1, 24)",31.383025837632324,394.50938868587735,False
62Z0781092622088,9,"(0, 1, 2)","(0, 1, 1, 24)",32.15817169368021,152.4777016083862,False
62Z0832092193888,0,"(0, 1, 2)","(1, 1, 1, 24)",31.383025837632324,394.50938868587735,False
62Z0861889954804,9,"(0, 1, 2)","(0, 1, 1, 24)",32.15817169368021,152.4777016083862,False
62Z0878741618562,0,"(0, 1, 2)","(1, 1, 1, 24)",31.383025837632324,394.50938868587735,False
62Z0961732571457,9,"(0, 1, 2)","(0, 1, 1, 24)",32.15817169368021,152.4777016083862,False
62Z0966299278375,10,"(0, 1, 0)","(1, 1, 1, 24)",31.512703674512615,628.0350464116341,False
62Z0998466306766,7,"(2, 1, 2)","(1, 1, 1, 24)",31.696489193441483,276.2095758318861,False
62Z1008745793703,0,"(0, 1, 2)","(1, 1, 1, 24)",31.383025837632324,394.50938868587735,False
