eic_code,cluster,order,val_money_pct,aic,fallback
62Z0832092193888,9,"(3, 0, 1)",2.1701484165253757,1109.3519668463123,False
62Z1026971387441,4,"(2, 0, 2)",2.0463396124409843,708.4570435270258,False
62Z1108084147506,6,"(3, 0, 1)",2.4387070510743447,401.67394838386787,False
62Z2295513355879,0,"(2, 0, 3)",29.05705683134114,-8116.472316460908,False
62Z277440221246K,8,"(3, 0, 0)",2.832840710428816,2201.912588647633,False
62Z4935598443531,7,"(3, 0, 1)",2.7185635842504183,502.92610232378524,False
62Z5641732606491,3,"(3, 0, 1)",3.1917470484284065,3834.3069591974895,False
62Z6626544596360,5,"(2, 0, 3)",6.756363759839772,1328.3908330921083,False
62Z7119951832999,2,"(3, 0, 0)",4.429401015476752,1082.930698867398,False
62Z9305845228363,1,"(2, 0, 1)",2.315687863082079,5884.757094573746,False
