Year,Month,sum,mean,count,period
2024,1,5354472.0,20.159302430649678,265608,2024-01-01
2024,2,4379269.0,17.57556748860207,249168,2024-02-01
2024,3,4075222.0,15.363644246393038,265251,2024-03-01
2024,4,3830307.0,14.859974394785848,257760,2024-04-01
2024,5,3809542.0,14.30265963837328,266352,2024-05-01
2024,6,3669567.0,14.157280092592593,259200,2024-06-01
2024,7,3685881.0,13.877146019698202,265608,2024-07-01
2024,8,4459711.0,16.743673785066377,266352,2024-08-01
2024,9,4164856.0,16.203143479614067,257040,2024-09-01
2024,10,4362832.0,16.379948339040066,266352,2024-10-01
2024,11,4483373.0,17.393594816883923,257760,2024-11-01
2024,12,4997086.0,18.76121072865982,266352,2024-12-01
2025,1,5836245.0,20.01126357801185,291648,2025-01-01
2025,2,5694189.0,21.343817470313063,266784,2025-02-01
2025,3,4964099.0,16.95724904523437,292742,2025-03-01
2025,4,4985293.0,17.39703029034059,286560,2025-04-01
2025,5,4730673.0,15.856437535194273,298344,2025-05-01
2025,6,4975501.0,17.406594598376714,285840,2025-06-01
2025,7,5588421.0,18.920197854879337,295368,2025-07-01
2025,8,5562085.0,18.8785876235473,294624,2025-08-01
